0.001761,0.000018,100,10,1000,0.000100,0.100000
0.002412,0.000024,100,20,1000,0.000100,0.100000
0.009894,0.000099,100,30,1000,0.000100,0.100000
0.012947,0.000129,100,40,1000,0.000100,0.100000
0.019617,0.000196,100,50,1000,0.000100,0.100000
0.021435,0.000214,100,60,1000,0.000100,0.100000
0.029301,0.000293,100,70,1000,0.000100,0.100000
0.028334,0.000283,100,80,1000,0.000100,0.100000
0.037980,0.000380,100,90,1000,0.000100,0.100000
0.046460,0.000465,100,100,1000,0.000100,0.100000
0.073816,0.000738,100,110,1000,0.000100,0.100000
0.061653,0.000617,100,120,1000,0.000100,0.100000
0.097482,0.000975,100,130,1000,0.000100,0.100000
0.086335,0.000863,100,140,1000,0.000100,0.100000
0.129357,0.001294,100,150,1000,0.000100,0.100000
0.147756,0.001478,100,160,1000,0.000100,0.100000
0.122909,0.001229,100,170,1000,0.000100,0.100000
0.163330,0.001633,100,180,1000,0.000100,0.100000
0.198836,0.001988,100,190,1000,0.000100,0.100000
0.242906,0.002429,100,200,1000,0.000100,0.100000
0.197334,0.001973,100,210,1000,0.000100,0.100000
0.208204,0.002082,100,220,1000,0.000100,0.100000
0.239550,0.002396,100,230,1000,0.000100,0.100000
0.313745,0.003137,100,240,1000,0.000100,0.100000
0.262656,0.002627,100,250,1000,0.000100,0.100000
0.308993,0.003090,100,260,1000,0.000100,0.100000
0.310031,0.003100,100,270,1000,0.000100,0.100000
0.331480,0.003315,100,280,1000,0.000100,0.100000
0.388704,0.003887,100,290,1000,0.000100,0.100000
0.465699,0.004657,100,300,1000,0.000100,0.100000
0.554171,0.005542,100,310,1000,0.000100,0.100000
0.495840,0.004958,100,320,1000,0.000100,0.100000
0.651020,0.006510,100,330,1000,0.000100,0.100000
0.667347,0.006673,100,340,1000,0.000100,0.100000
0.569458,0.005695,100,350,1000,0.000100,0.100000
0.912671,0.009127,100,360,1000,0.000100,0.100000
0.577108,0.005771,100,370,1000,0.000100,0.100000
0.784449,0.007844,100,380,1000,0.000100,0.100000
0.700218,0.007002,100,390,1000,0.000100,0.100000
0.936963,0.009370,100,400,1000,0.000100,0.100000
0.989793,0.009898,100,410,1000,0.000100,0.100000
0.784893,0.007849,100,420,1000,0.000100,0.100000
1.098803,0.010988,100,430,1000,0.000100,0.100000
